drug,protein,,,,
DB05013,5582,,,,
DB08568,5582,,,,
DB08568,5583,,,,
DB04216,5585,,,,
DB06616,5585,,,,
DB08162,5585,,,,
DB08568,5585,,,,
DB06616,5586,,,,
DB08162,5586,,,,
DB08568,5586,,,,
DB08756,5586,,,,
DB00317,5587,,,,
DB08865,5587,,,,
DB06616,5588,,,,
DB08568,5588,,,,
DB02656,5591,,,,
DB08052,5591,,,,
DB07995,5592,,,,
DB08568,5592,,,,
DB08568,5593,,,,
DB08877,5593,,,,
DB01064,5594,,,,
DB01169,5594,,,,
DB02733,5594,,,,
DB03044,5594,,,,
DB08568,5594,,,,
DB00605,5595,,,,
DB01169,5595,,,,
DB02733,5595,,,,
DB02567,5596,,,,
DB05424,5596,,,,
DB02567,5597,,,,
DB01268,5598,,,,
DB06616,5598,,,,
DB08142,5598,,,,
DB08865,5598,,,,
DB00619,5599,,,,
DB02567,5599,,,,
DB03044,5599,,,,
DB03496,5599,,,,
DB04868,5599,,,,
DB06589,5599,,,,
DB08877,5599,,,,
DB00398,5600,,,,
DB02567,5600,,,,
DB03044,5600,,,,
DB04868,5600,,,,
DB07941,5600,,,,
DB00317,5601,,,,
DB00398,5601,,,,
DB00530,5601,,,,
DB00619,5601,,,,
DB01268,5601,,,,
DB03044,5601,,,,
DB04868,5601,,,,
DB08916,5601,,,,
DB00317,5602,,,,
DB00530,5602,,,,
DB00619,5602,,,,
DB01268,5602,,,,
DB02375,5602,,,,
DB03044,5602,,,,
DB04216,5602,,,,
DB04868,5602,,,,
DB05424,5602,,,,
DB07352,5602,,,,
DB07795,5602,,,,
DB08916,5602,,,,
DB03044,5603,,,,
DB07101,5604,,,,
DB02567,5604,,,,
DB06616,5604,,,,
DB06999,5604,,,,
DB08877,5604,,,,
DB02567,5605,,,,
DB04849,5605,,,,
DB06616,5605,,,,
DB06999,5605,,,,
DB08877,5605,,,,
DB01268,5606,,,,
DB02567,5606,,,,
DB03496,5606,,,,
DB06616,5606,,,,
DB08568,5606,,,,
DB08877,5606,,,,
DB08865,5606,,,,
DB00317,5607,,,,
DB00398,5607,,,,
DB00530,5607,,,,
DB01254,5607,,,,
DB01259,5607,,,,
DB01268,5607,,,,
DB02567,5607,,,,
DB03496,5607,,,,
DB04849,5607,,,,
DB04868,5607,,,,
DB05294,5607,,,,
DB05424,5607,,,,
DB05465,5607,,,,
DB06589,5607,,,,
DB06616,5607,,,,
DB06999,5607,,,,
DB08916,5607,,,,
DB01268,5608,,,,
DB02567,5608,,,,
DB06616,5608,,,,
DB01259,5609,,,,
DB05424,5609,,,,
DB06616,5609,,,,
DB08568,5610,,,,
DB08865,5610,,,,
DB08568,5613,,,,
DB00759,5621,,,,
DB00458,5621,,,,
DB00477,5621,,,,
DB00608,5621,,,,
DB01103,5621,,,,
DB00170,5624,,,,
DB00170,5627,,,,
DB03608,5644,,,,
DB00738,5644,,,,
DB00188,5689,,,,
DB00188,5690,,,,
DB00188,5693,,,,
DB00188,5707,,,,
DB00188,5708,,,,
DB00297,5731,,,,
DB00770,5731,,,,
DB00905,5731,,,,
DB00917,5731,,,,
DB00770,5732,,,,
DB00917,5732,,,,
DB00328,5732,,,,
DB00533,5732,,,,
DB00905,5733,,,,
DB00917,5733,,,,
DB00917,5734,,,,
DB00287,5737,,,,
DB00905,5737,,,,
DB00917,5737,,,,
DB00917,5739,,,,
DB00812,5740,,,,
DB00244,5742,,,,
DB00316,5742,,,,
DB00328,5742,,,,
DB00350,5742,,,,
DB00461,5742,,,,
DB00465,5742,,,,
DB00469,5742,,,,
DB00500,5742,,,,
DB00554,5742,,,,
DB00586,5742,,,,
DB00605,5742,,,,
DB00712,5742,,,,
DB00749,5742,,,,
DB00784,5742,,,,
DB00788,5742,,,,
DB00795,5742,,,,
DB00812,5742,,,,
DB00814,5742,,,,
DB00821,5742,,,,
DB00870,5742,,,,
DB00945,5742,,,,
DB00963,5742,,,,
DB00991,5742,,,,
DB01009,5742,,,,
DB01014,5742,,,,
DB01050,5742,,,,
DB01283,5742,,,,
DB01399,5742,,,,
DB01435,5742,,,,
DB02266,5742,,,,
DB02709,5742,,,,
DB04552,5742,,,,
DB06725,5742,,,,
DB06802,5742,,,,
DB08814,5742,,,,
DB00235,5742,,,,
DB00482,5742,,,,
DB00533,5742,,,,
DB04725,5742,,,,
DB00233,5743,,,,
DB00244,5743,,,,
DB00316,5743,,,,
DB00328,5743,,,,
DB00461,5743,,,,
DB00465,5743,,,,
DB00469,5743,,,,
DB00480,5743,,,,
DB00482,5743,,,,
DB00500,5743,,,,
DB00533,5743,,,,
DB00554,5743,,,,
DB00580,5743,,,,
DB00586,5743,,,,
DB00605,5743,,,,
DB00712,5743,,,,
DB00749,5743,,,,
DB00784,5743,,,,
DB00788,5743,,,,
DB00795,5743,,,,
DB00812,5743,,,,
DB00814,5743,,,,
DB00821,5743,,,,
DB00870,5743,,,,
DB00945,5743,,,,
DB00963,5743,,,,
DB00991,5743,,,,
DB01009,5743,,,,
DB01014,5743,,,,
DB01041,5743,,,,
DB01050,5743,,,,
DB01283,5743,,,,
DB01399,5743,,,,
DB01435,5743,,,,
DB02266,5743,,,,
DB02709,5743,,,,
DB04552,5743,,,,
DB04743,5743,,,,
DB06725,5743,,,,
DB06802,5743,,,,
DB01234,5743,,,,
DB04725,5743,,,,
DB07352,5743,,,,
DB01268,5747,,,,
DB03044,5747,,,,
DB04216,5747,,,,
DB06616,5747,,,,
DB06999,5747,,,,
DB08800,5747,,,,
DB08846,5747,,,,
DB08865,5747,,,,
DB01254,5753,,,,
DB01268,5753,,,,
DB02567,5753,,,,
DB04849,5753,,,,
DB04879,5753,,,,
DB05294,5753,,,,
DB05424,5753,,,,
DB06999,5753,,,,
DB00233,5770,,,,
DB00630,5775,,,,
DB00630,5791,,,,
DB00630,5802,,,,
DB03496,5837,,,,
DB01254,5871,,,,
DB01268,5871,,,,
DB02567,5871,,,,
DB03496,5871,,,,
DB04849,5871,,,,
DB05294,5871,,,,
DB05424,5871,,,,
DB06589,5871,,,,
DB06616,5871,,,,
DB08568,5871,,,,
DB08877,5871,,,,
DB08865,5871,,,,
DB00398,5894,,,,
DB01254,5894,,,,
DB02567,5894,,,,
DB04868,5894,,,,
DB06999,5894,,,,
DB08881,5894,,,,
DB00210,5914,,,,
DB00459,5914,,,,
DB00799,5914,,,,
DB00982,5914,,,,
DB04942,5914,,,,
DB00307,5914,,,,
DB01941,5914,,,,
DB02877,5914,,,,
DB00210,5915,,,,
DB00459,5915,,,,
DB00799,5915,,,,
DB02877,5915,,,,
DB04942,5915,,,,
DB00307,5915,,,,
DB01941,5915,,,,
DB00210,5916,,,,
DB00459,5916,,,,
DB00755,5916,,,,
DB00799,5916,,,,
DB00307,5916,,,,
DB00412,5916,,,,
DB01941,5916,,,,
DB02877,5916,,,,
DB04942,5916,,,,
DB00459,5947,,,,
DB05076,5950,,,,
DB01197,5972,,,,
DB00619,5979,,,,
DB00317,5979,,,,
DB00398,5979,,,,
DB00530,5979,,,,
DB01254,5979,,,,
DB01268,5979,,,,
DB02567,5979,,,,
DB03044,5979,,,,
DB04849,5979,,,,
DB04868,5979,,,,
DB05294,5979,,,,
DB05424,5979,,,,
DB06589,5979,,,,
DB06616,5979,,,,
DB08052,5979,,,,
DB08568,5979,,,,
DB08877,5979,,,,
DB08901,5979,,,,
DB08865,5979,,,,
DB03796,6010,,,,
DB03496,6011,,,,
DB08877,6011,,,,
DB00128,6035,,,,
DB00536,6035,,,,
DB01411,6037,,,,
DB02656,6046,,,,
DB08162,6093,,,,
DB08756,6093,,,,
DB03496,6093,,,,
DB06616,6093,,,,
DB08568,6093,,,,
DB08877,6093,,,,
DB08865,6093,,,,
DB01065,6096,,,,
DB08865,6098,,,,
DB04751,6195,,,,
DB01268,6195,,,,
DB03496,6195,,,,
DB08597,6195,,,,
DB08877,6195,,,,
DB01268,6196,,,,
DB03496,6196,,,,
DB06616,6196,,,,
DB08877,6196,,,,
DB01268,6197,,,,
DB03496,6197,,,,
DB06616,6197,,,,
DB08568,6197,,,,
DB01268,6198,,,,
DB03496,6198,,,,
DB05294,6198,,,,
DB06616,6198,,,,
DB07995,6198,,,,
DB08568,6198,,,,
DB08865,6198,,,,
DB00242,6240,,,,
DB00441,6240,,,,
DB00631,6240,,,,
DB01005,6240,,,,
DB01073,6240,,,,
DB00242,6241,,,,
DB00631,6241,,,,
DB00210,6256,,,,
DB00307,6256,,,,
DB00459,6256,,,,
DB00749,6256,,,,
DB01941,6256,,,,
DB00210,6257,,,,
DB00307,6257,,,,
DB00459,6257,,,,
DB00755,6257,,,,
DB00799,6257,,,,
DB01941,6257,,,,
DB00210,6258,,,,
DB00307,6258,,,,
DB00459,6258,,,,
DB00755,6258,,,,
DB00201,6261,,,,
DB04786,6261,,,,
DB00768,6271,,,,
DB00768,6273,,,,
DB00831,6275,,,,
DB00768,6283,,,,
DB01025,6283,,,,
DB00768,6284,,,,
DB01025,6284,,,,
DB00768,6285,,,,
DB01373,6285,,,,
DB00738,6285,,,,
DB01003,6286,,,,
DB00398,6300,,,,
DB03044,6300,,,,
DB00738,6303,,,,
DB03608,6303,,,,
DB00252,6323,,,,
DB00273,6323,,,,
DB00909,6323,,,,
DB01438,6323,,,,
DB00909,6324,,,,
DB00555,6326,,,,
DB00818,6326,,,,
DB00909,6326,,,,
DB00321,6326,,,,
DB00379,6326,,,,
DB00909,6328,,,,
DB00586,6329,,,,
DB00818,6329,,,,
DB00909,6329,,,,
DB01195,6329,,,,
DB00909,6330,,,,
DB00252,6331,,,,
DB00281,6331,,,,
DB00379,6331,,,,
DB00527,6331,,,,
DB00564,6331,,,,
DB00661,6331,,,,
DB00740,6331,,,,
DB00750,6331,,,,
DB00776,6331,,,,
DB00908,6331,,,,
DB00909,6331,,,,
DB01182,6331,,,,
DB01195,6331,,,,
DB00321,6331,,,,
DB00281,6336,,,,
DB00296,6336,,,,
DB00297,6336,,,,
DB00527,6336,,,,
DB00645,6336,,,,
DB00721,6336,,,,
DB00807,6336,,,,
DB00892,6336,,,,
DB00961,6336,,,,
DB01086,6336,,,,
DB01173,6336,,,,
DB00384,6337,,,,
DB00594,6337,,,,
DB00384,6338,,,,
DB00594,6338,,,,
DB00384,6339,,,,
DB00594,6339,,,,
DB00384,6340,,,,
DB00594,6340,,,,
DB08162,6347,,,,
DB08756,6347,,,,
DB01268,6416,,,,
DB02567,6416,,,,
DB03496,6416,,,,
DB06616,6416,,,,
DB06999,6416,,,,
DB08877,6416,,,,
DB00367,6462,,,,
DB00396,6462,,,,
DB00603,6462,,,,
DB00624,6462,,,,
DB00655,6462,,,,
DB00717,6462,,,,
DB00783,6462,,,,
DB00977,6462,,,,
DB01708,6462,,,,
DB02789,6462,,,,
DB03467,6462,,,,
DB04573,6462,,,,
DB06710,6462,,,,
DB08828,6469,,,,
DB00145,6470,,,,
DB00145,6472,,,,
DB00284,6476,,,,
DB00747,6476,,,,
DB00491,6476,,,,
DB02587,6513,,,,
DB06292,6523,,,,
DB00215,6530,,,,
DB00234,6530,,,,
DB00285,6530,,,,
DB00289,6530,,,,
DB00321,6530,,,,
DB00370,6530,,,,
DB00434,6530,,,,
DB00458,6530,,,,
DB00472,6530,,,,
DB00476,6530,,,,
DB00543,6530,,,,
DB00656,6530,,,,
DB00715,6530,,,,
DB00934,6530,,,,
DB00988,6530,,,,
DB01156,6530,,,,
DB01224,6530,,,,
DB01238,6530,,,,
DB01242,6530,,,,
DB04896,6530,,,,
DB04946,6530,,,,
DB06700,6530,,,,
DB00176,6531,,,,
DB00285,6531,,,,
DB00289,6531,,,,
DB00321,6531,,,,
DB00458,6531,,,,
DB00472,6531,,,,
DB00476,6531,,,,
DB00543,6531,,,,
DB00656,6531,,,,
DB00715,6531,,,,
DB00780,6531,,,,
DB00934,6531,,,,
DB00988,6531,,,,
DB01156,6531,,,,
DB01238,6531,,,,
DB01242,6531,,,,
DB04946,6531,,,,
DB06148,6531,,,,
DB00176,6532,,,,
DB00215,6532,,,,
DB00234,6532,,,,
DB00246,6532,,,,
DB00285,6532,,,,
DB00289,6532,,,,
DB00321,6532,,,,
DB00363,6532,,,,
DB00434,6532,,,,
DB00458,6532,,,,
DB00472,6532,,,,
DB00476,6532,,,,
DB00477,6532,,,,
DB00502,6532,,,,
DB00543,6532,,,,
DB00656,6532,,,,
DB00715,6532,,,,
DB00734,6532,,,,
DB00934,6532,,,,
DB01156,6532,,,,
DB01175,6532,,,,
DB01224,6532,,,,
DB01238,6532,,,,
DB01242,6532,,,,
DB01392,6532,,,,
DB04896,6532,,,,
DB06148,6532,,,,
DB06216,6532,,,,
DB06684,6532,,,,
DB06700,6532,,,,
DB00571,6554,,,,
DB01586,6554,,,,
DB06777,6555,,,,
DB01333,6564,,,,
DB04844,6571,,,,
DB00563,6573,,,,
DB00283,6580,,,,
DB00396,6580,,,,
DB00457,6580,,,,
DB00477,6580,,,,
DB00575,6580,,,,
DB00661,6580,,,,
DB00783,6580,,,,
DB00878,6580,,,,
DB00912,6580,,,,
DB00914,6580,,,,
DB00925,6580,,,,
DB00396,6581,,,,
DB00738,6581,,,,
DB00783,6581,,,,
DB00878,6581,,,,
DB00925,6581,,,,
DB00213,6582,,,,
DB00382,6582,,,,
DB00458,6582,,,,
DB00468,6582,,,,
DB00478,6582,,,,
DB00549,6582,,,,
DB00619,6582,,,,
DB00738,6582,,,,
DB00751,6582,,,,
DB00762,6582,,,,
DB00878,6582,,,,
DB00889,6582,,,,
DB00904,6582,,,,
DB00925,6582,,,,
DB00975,6582,,,,
DB00977,6582,,,,
DB01136,6582,,,,
DB01173,6582,,,,
DB01184,6582,,,,
DB01339,6582,,,,
DB08828,6608,,,,
DB00973,6646,,,,
DB01094,6646,,,,
DB00857,6713,,,,
DB01254,6714,,,,
DB04751,6714,,,,
DB08052,6714,,,,
DB00317,6714,,,,
DB00398,6714,,,,
DB00530,6714,,,,
DB01268,6714,,,,
DB02567,6714,,,,
DB04216,6714,,,,
DB04849,6714,,,,
DB04868,6714,,,,
DB05294,6714,,,,
DB05424,6714,,,,
DB05465,6714,,,,
DB06616,6714,,,,
DB06999,6714,,,,
DB08597,6714,,,,
DB08916,6714,,,,
DB08846,6714,,,,
DB08865,6714,,,,
DB02567,6725,,,,
DB06616,6725,,,,
DB06999,6725,,,,
DB08568,6732,,,,
DB08877,6732,,,,
DB08865,6732,,,,
DB00173,6733,,,,
DB02733,6733,,,,
DB08568,6733,,,,
DB00847,6750,,,,
DB00104,6751,,,,
DB00104,6752,,,,
DB00104,6755,,,,
DB00738,6768,,,,
DB01254,6777,,,,
DB01176,6783,,,,
DB02567,6788,,,,
DB06616,6788,,,,
DB08568,6788,,,,
DB08865,6788,,,,
DB01254,6789,,,,
DB01268,6789,,,,
DB02567,6789,,,,
DB04849,6789,,,,
DB06616,6789,,,,
DB08865,6789,,,,
DB00530,6790,,,,
DB00997,6790,,,,
DB01254,6790,,,,
DB01268,6790,,,,
DB06999,6790,,,,
DB07340,6790,,,,
DB08846,6790,,,,
DB08865,6790,,,,
DB03496,6792,,,,
DB08142,6792,,,,
DB08568,6792,,,,
DB00317,6793,,,,
DB00398,6793,,,,
DB00530,6793,,,,
DB01259,6793,,,,
DB01268,6793,,,,
DB02567,6793,,,,
DB03044,6793,,,,
DB04849,6793,,,,
DB04868,6793,,,,
DB05294,6793,,,,
DB05424,6793,,,,
DB05465,6793,,,,
DB06616,6793,,,,
DB08916,6793,,,,
DB08865,6793,,,,
DB01268,6795,,,,
DB02567,6795,,,,
DB04849,6795,,,,
DB05424,6795,,,,
DB06999,6795,,,,
DB08568,6795,,,,
DB08877,6795,,,,
DB08865,6795,,,,
DB01708,6820,,,,
DB02789,6820,,,,
DB01708,6822,,,,
DB00222,6833,,,,
DB00672,6833,,,,
DB00731,6833,,,,
DB00912,6833,,,,
DB01016,6833,,,,
DB01067,6833,,,,
DB01120,6833,,,,
DB01124,6833,,,,
DB01251,6833,,,,
DB00619,6850,,,,
DB02567,6850,,,,
DB06589,6850,,,,
DB06616,6850,,,,
DB08865,6850,,,,
DB02255,6868,,,,
DB03880,6868,,,,
DB00673,6869,,,,
DB01221,6869,,,,
DB06717,6869,,,,
DB00715,6869,,,,
DB00673,6870,,,,
DB01254,6885,,,,
DB03044,6885,,,,
DB03496,6885,,,,
DB05424,6885,,,,
DB06616,6885,,,,
DB08568,6885,,,,
DB08877,6885,,,,
DB08865,6885,,,,
DB00246,6915,,,,
DB00502,6915,,,,
DB00734,6915,,,,
DB01224,6915,,,,
DB06216,6915,,,,
DB00328,6916,,,,
DB00200,6947,,,,
DB01254,7006,,,,
DB02567,7006,,,,
DB06616,7006,,,,
DB00398,7010,,,,
DB00836,7010,,,,
DB02567,7010,,,,
DB03044,7010,,,,
DB04849,7010,,,,
DB04868,7010,,,,
DB05294,7010,,,,
DB06589,7010,,,,
DB06616,7010,,,,
DB08846,7010,,,,
DB08865,7010,,,,
DB02567,7016,,,,
DB06999,7016,,,,
DB08865,7016,,,,
DB02567,7046,,,,
DB04849,7046,,,,
DB08865,7046,,,,
DB00398,7048,,,,
DB02567,7048,,,,
DB06589,7048,,,,
DB06999,7048,,,,
DB08597,7048,,,,
DB00170,7052,,,,
DB00279,7067,,,,
DB00451,7067,,,,
DB00279,7068,,,,
DB00451,7068,,,,
DB03604,7068,,,,
DB01268,7075,,,,
DB02567,7075,,,,
DB04849,7075,,,,
DB04868,7075,,,,
DB06616,7075,,,,
DB08865,7075,,,,
DB00249,7083,,,,
DB00495,7083,,,,
DB03796,7097,,,,
DB00608,7124,,,,
DB01041,7124,,,,
DB01411,7124,,,,
DB03044,7124,,,,
DB01023,7125,,,,
DB01373,7125,,,,
DB00831,7134,,,,
DB00922,7134,,,,
DB01023,7134,,,,
DB01244,7134,,,,
DB01373,7134,,,,
DB00762,7150,,,,
DB01030,7150,,,,
DB04690,7150,,,,
DB00218,7153,,,,
DB00380,7153,,,,
DB00444,7153,,,,
DB00445,7153,,,,
DB00467,7153,,,,
DB00487,7153,,,,
DB00537,7153,,,,
DB00694,7153,,,,
DB00773,7153,,,,
DB00978,7153,,,,
DB00997,7153,,,,
DB01059,7153,,,,
DB01137,7153,,,,
DB01165,7153,,,,
DB01177,7153,,,,
DB01179,7153,,,,
DB01204,7153,,,,
DB01208,7153,,,,
DB01645,7153,,,,
DB04576,7153,,,,
DB00380,7155,,,,
DB00694,7155,,,,
DB01250,7172,,,,
DB00389,7173,,,,
DB00550,7173,,,,
DB00763,7173,,,,
DB00615,7184,,,,
DB00257,7226,,,,
DB01127,7226,,,,
DB00530,7272,,,,
DB01268,7272,,,,
DB03044,7272,,,,
DB07340,7272,,,,
DB08877,7272,,,,
DB02266,7276,,,,
DB00541,7277,,,,
DB01179,7277,,,,
DB03010,7277,,,,
DB06772,7277,,,,
DB03010,7278,,,,
DB00570,7283,,,,
DB00530,7294,,,,
DB01254,7294,,,,
DB02567,7294,,,,
DB06616,7294,,,,
DB08916,7294,,,,
DB08865,7294,,,,
DB05448,7295,,,,
DB01169,7296,,,,
DB03566,7296,,,,
DB04106,7296,,,,
DB04716,7297,,,,
DB00530,7297,,,,
DB00619,7297,,,,
DB01254,7297,,,,
DB01268,7297,,,,
DB02567,7297,,,,
DB03496,7297,,,,
DB06589,7297,,,,
DB06616,7297,,,,
DB08877,7297,,,,
DB08865,7297,,,,
DB01099,7298,,,,
DB00293,7298,,,,
DB00322,7298,,,,
DB00432,7298,,,,
DB00440,7298,,,,
DB00441,7298,,,,
DB00544,7298,,,,
DB00642,7298,,,,
DB01101,7298,,,,
DB00563,7298,,,,
DB00600,7299,,,,
DB02567,7301,,,,
DB04849,7301,,,,
DB06616,7301,,,,
DB08865,7301,,,,
DB02097,7371,,,,
DB01136,7412,,,,
DB00136,7421,,,,
DB00146,7421,,,,
DB00153,7421,,,,
DB00169,7421,,,,
DB01436,7421,,,,
DB04258,7421,,,,
DB01017,7422,,,,
DB01120,7422,,,,
DB01136,7422,,,,
DB03754,7422,,,,
DB01254,7444,,,,
DB03496,7444,,,,
DB06616,7444,,,,
DB08568,7444,,,,
DB08877,7444,,,,
DB02567,7465,,,,
DB06616,7465,,,,
DB00437,7498,,,,
DB00583,7498,,,,
DB03841,7498,,,,
DB02375,7498,,,,
DB04216,7498,,,,
DB07352,7498,,,,
DB07795,7498,,,,
DB01254,7525,,,,
DB01268,7525,,,,
DB02567,7525,,,,
DB03044,7525,,,,
DB04849,7525,,,,
DB04868,7525,,,,
DB05294,7525,,,,
DB05424,7525,,,,
DB06616,7525,,,,
DB06999,7525,,,,
DB08597,7525,,,,
DB08865,7525,,,,
DB06616,7535,,,,
DB08865,7535,,,,
DB01268,7786,,,,
DB06616,7786,,,,
DB08865,7786,,,,
DB00518,7846,,,,
DB00570,7846,,,,
DB00643,7846,,,,
DB03010,7846,,,,
DB06809,7852,,,,
DB00495,7852,,,,
DB00943,7852,,,,
DB01083,7920,,,,
DB01083,7941,,,,
DB02656,8019,,,,
DB00200,8029,,,,
DB02255,8038,,,,
DB00126,8284,,,,
DB01065,8288,,,,
DB06616,8394,,,,
DB08568,8394,,,,
DB08865,8394,,,,
DB08568,8396,,,,
DB01103,8398,,,,
DB06616,8408,,,,
DB08568,8408,,,,
DB08877,8408,,,,
DB08865,8408,,,,
DB00126,8424,,,,
DB02567,8428,,,,
DB06616,8428,,,,
DB00530,8445,,,,
DB05424,8445,,,,
DB06999,8445,,,,
DB08142,8445,,,,
DB08568,8445,,,,
DB08877,8445,,,,
DB08916,8445,,,,
DB08865,8445,,,,
DB02567,8476,,,,
DB08568,8476,,,,
DB02567,8491,,,,
DB04849,8491,,,,
DB06616,8491,,,,
DB08865,8491,,,,
DB01064,8503,,,,
DB01083,8513,,,,
DB01268,8536,,,,
DB06999,8536,,,,
DB08877,8536,,,,
DB00165,8566,,,,
DB01268,8569,,,,
DB03044,8569,,,,
DB08597,8569,,,,
DB08916,8569,,,,
DB06616,8573,,,,
DB08142,8573,,,,
DB08877,8573,,,,
DB08865,8573,,,,
DB01268,8576,,,,
DB06999,8576,,,,
DB08877,8576,,,,
DB00480,8600,,,,
DB03044,8621,,,,
DB03496,8621,,,,
DB08142,8621,,,,
DB08568,8621,,,,
DB00920,8622,,,,
DB00780,8639,,,,
DB01275,8639,,,,
DB00905,8644,,,,
DB01698,8644,,,,
DB02266,8644,,,,
DB00328,8644,,,,
DB00586,8644,,,,
DB00603,8644,,,,
DB00712,8644,,,,
DB00784,8644,,,,
DB01016,8647,,,,
DB01645,8648,,,,
DB00203,8654,,,,
DB00277,8654,,,,
DB00820,8654,,,,
DB00862,8654,,,,
DB00975,8654,,,,
DB00235,8654,,,,
DB01113,8654,,,,
DB07352,8658,,,,
DB08868,8698,,,,
DB02567,8711,,,,
DB06589,8711,,,,
DB08865,8711,,,,
DB02567,8737,,,,
DB06999,8737,,,,
DB08865,8737,,,,
DB02255,8754,,,,
DB00317,8767,,,,
DB00398,8767,,,,
DB00530,8767,,,,
DB01254,8767,,,,
DB02567,8767,,,,
DB03044,8767,,,,
DB04849,8767,,,,
DB05294,8767,,,,
DB05424,8767,,,,
DB06616,8767,,,,
DB06999,8767,,,,
DB08916,8767,,,,
DB08865,8767,,,,
DB06616,8780,,,,
DB08568,8780,,,,
DB08877,8780,,,,
DB08865,8780,,,,
DB01268,8788,,,,
DB02546,8841,,,,
DB04297,8841,,,,
DB00755,8854,,,,
DB00530,8856,,,,
DB00783,8856,,,,
DB00977,8856,,,,
DB01045,8856,,,,
DB01220,8856,,,,
DB00227,8856,,,,
DB00393,8856,,,,
DB00455,8856,,,,
DB00834,8856,,,,
DB00170,8858,,,,
DB01268,8899,,,,
DB08568,8899,,,,
DB00661,8911,,,,
DB00909,8911,,,,
DB04841,8911,,,,
DB00270,8912,,,,
DB00909,8912,,,,
DB01023,8912,,,,
DB01054,8912,,,,
DB01115,8912,,,,
DB01118,8912,,,,
DB01244,8912,,,,
DB04841,8912,,,,
DB00593,8913,,,,
DB00661,8913,,,,
DB00909,8913,,,,
DB04841,8913,,,,
DB00284,8972,,,,
DB00491,8972,,,,
DB04878,8972,,,,
DB01645,8972,,,,
DB00126,8985,,,,
DB00317,8986,,,,
DB01268,8986,,,,
DB08568,8986,,,,
DB08877,8986,,,,
DB00822,8989,,,,
DB08142,8999,,,,
DB08568,8999,,,,
DB08865,8999,,,,
DB02567,9024,,,,
DB00755,9052,,,,
DB02567,9088,,,,
DB06616,9088,,,,
DB08568,9113,,,,
DB01268,9128,,,,
DB04953,9132,,,,
DB08142,9149,,,,
DB08568,9149,,,,
DB08916,9149,,,,
DB01254,9175,,,,
DB06616,9175,,,,
DB08865,9175,,,,
DB00889,9177,,,,
DB00904,9177,,,,
DB06999,9201,,,,
DB08877,9201,,,,
DB08865,9201,,,,
DB04703,9212,,,,
DB07340,9212,,,,
DB00398,9212,,,,
DB01254,9212,,,,
DB01268,9212,,,,
DB04216,9212,,,,
DB04849,9212,,,,
DB05465,9212,,,,
DB06999,9212,,,,
DB08846,9212,,,,
DB08865,9212,,,,
DB01268,9252,,,,
DB03496,9252,,,,
DB07995,9252,,,,
DB08162,9252,,,,
DB08568,9252,,,,
DB08756,9252,,,,
DB08877,9252,,,,
DB00270,9254,,,,
DB00996,9254,,,,
DB01023,9254,,,,
DB01054,9254,,,,
DB01118,9254,,,,
DB01244,9254,,,,
DB08568,9261,,,,
DB04216,9262,,,,
DB00317,9262,,,,
DB00530,9262,,,,
DB01268,9262,,,,
DB03496,9262,,,,
DB05424,9262,,,,
DB08568,9262,,,,
DB08877,9262,,,,
DB00317,9263,,,,
DB00530,9263,,,,
DB00619,9263,,,,
DB01268,9263,,,,
DB03496,9263,,,,
DB05424,9263,,,,
DB08568,9263,,,,
DB08877,9263,,,,
DB08916,9263,,,,
DB07348,9266,,,,
DB00398,9344,,,,
DB01254,9344,,,,
DB02567,9344,,,,
DB03496,9344,,,,
DB04849,9344,,,,
DB06589,9344,,,,
DB06616,9344,,,,
DB08142,9344,,,,
DB08568,9344,,,,
DB08877,9344,,,,
DB08865,9344,,,,
DB00328,9356,,,,
DB00345,9356,,,,
DB00586,9356,,,,
DB00712,9356,,,,
DB01009,9356,,,,
DB01032,9356,,,,
DB01050,9356,,,,
DB08846,9356,,,,
DB03793,9367,,,,
DB00213,9429,,,,
DB00317,9429,,,,
DB00619,9429,,,,
DB00655,9429,,,,
DB01030,9429,,,,
DB01645,9429,,,,
DB04216,9429,,,,
DB04881,9429,,,,
DB07352,9429,,,,
DB02567,9448,,,,
DB04849,9448,,,,
DB06589,9448,,,,
DB06616,9448,,,,
DB06999,9448,,,,
DB08568,9448,,,,
DB00399,9453,,,,
DB08162,9475,,,,
DB08756,9475,,,,
DB03496,9475,,,,
DB05294,9475,,,,
DB06616,9475,,,,
DB07995,9475,,,,
DB08877,9475,,,,
DB08865,9475,,,,
DB02255,9507,,,,
DB04725,9536,,,,
DB02567,9578,,,,
DB04868,9578,,,,
DB08568,9578,,,,
DB02546,9611,,,,
DB06616,9641,,,,
DB08877,9641,,,,
DB08865,9641,,,,
DB03496,9706,,,,
DB06616,9706,,,,
DB08568,9706,,,,
DB08877,9706,,,,
DB08865,9706,,,,
DB02546,9734,,,,
DB04297,9734,,,,
DB00317,9748,,,,
DB00398,9748,,,,
DB00530,9748,,,,
DB01259,9748,,,,
DB01268,9748,,,,
DB02567,9748,,,,
DB03044,9748,,,,
DB04849,9748,,,,
DB05294,9748,,,,
DB05424,9748,,,,
DB05465,9748,,,,
DB06589,9748,,,,
DB06616,9748,,,,
DB06999,9748,,,,
DB08142,9748,,,,
DB08916,9748,,,,
DB08865,9748,,,,
DB02546,9759,,,,
DB04297,9759,,,,
DB08568,9833,,,,
DB08877,9833,,,,
